"Genotype","Environment","Year","Rep","Block","Row","Col","trait","value","PopGroup"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","DM",2.70638,"M. x gig"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","FW",5.44,"M. x gig"
"Mx-2446_1","Aber-2015","2015",NA,"1","6","1","MC",50.2504,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","DM",2.972,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","FW",5.578,"M. x gig"
"Mx-2446_1","Aber-2016","2016",NA,"1","6","1","MC",46.7,"M. x gig"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","DM",0.232934,"M. sacchariflorus"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","FW",0.3,"M. sacchariflorus"
"Mb-427_1","Aber-2015","2015",NA,"1","8","1","MC",22.3553,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","DM",1.41238,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","FW",1.74,"M. sacchariflorus"
"Mx-2470_5","Aber-2015","2015",NA,"1","13","1","MC",18.8285,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","DM",3.279,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","FW",4.262,"M. sacchariflorus"
"Mx-2470_5","Aber-2016","2016",NA,"1","13","1","MC",23.1,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","DM",0.387348,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","FW",0.48,"M. sacchariflorus"
"Mb-425_1","Aber-2015","2015",NA,"1","21","1","MC",19.3025,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","DM",1.433,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","FW",2.086,"M. sacchariflorus"
"Mb-425_1","Aber-2016","2016",NA,"1","21","1","MC",31.3,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","DM",0.133043,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","FW",0.18,"M. sacchariflorus"
"Mb-431_1","Aber-2015","2015",NA,"1","24","1","MC",26.087,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","DM",0.358,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","FW",0.479,"M. sacchariflorus"
"Mb-431_1","Aber-2016","2016",NA,"1","24","1","MC",25.2,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","DM",0.723586,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","FW",0.88,"M. sacchariflorus"
"Mb-411","Aber-2015","2015",NA,"1","27","1","MC",17.7743,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","DM",1.67,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","FW",2.348,"M. sacchariflorus"
"Mb-411","Aber-2016","2016",NA,"1","27","1","MC",28.9,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","DM",0.379949,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","FW",0.52,"M. sacchariflorus"
"Mb-494_1","Aber-2015","2015",NA,"1","32","2","MC",26.9329,"M. sacchariflorus"
"Mb-494_1","Aber-2016","2016",NA,"1","32","2","DM",0.837,"M. sacchariflorus"
