"UID","geno","block","row","col","dry_matter_plant_15","fresh_weight_plant_15","moisture_content_15","dry_matter_plant_16","fresh_weight_plant_16","moisture_content_16"
"63016","Mx-2446_1","1","6","1","2.7063799999999998","5.44","50.250399999999999","2.972","5.5780000000000003","46.7"
"63018","Mb-427_1","1","8","1","0.232934","0.3","22.3553","NA","NA","NA"
"63023","Mx-2470_5","1","13","1","1.41238","1.74","18.828499999999998","3.2789999999999999","4.2619999999999996","23.1"
"63031","Mb-425_1","1","21","1","0.38734800000000003","0.48","19.302499999999998","1.4330000000000001","2.0859999999999999","31.3"
"63034","Mb-431_1","1","24","1","0.13304299999999999","0.18","26.087","0.35799999999999998","0.47899999999999998","25.2"
"63037","Mb-411","1","27","1","0.72358599999999995","0.88","17.7743","1.67","2.3479999999999999","28.9"
"63059","Mb-494_1","1","32","2","0.37994899999999998","0.52","26.9329","0.83699999999999997","1.0720000000000001","21.9"
"63060","Mb-177","1","31","2","0.44081599999999999","0.54","18.3673","2.0920000000000001","2.6509999999999998","21.1"
"63073","Mb-397","1","18","2","0.36382799999999998","0.52","30.033000000000001","1.2330000000000001","1.5649999999999999","21.2"
"63093","Mb-486","1","3","3","0.378913","0.46","17.627700000000001","NA","NA","NA"
"63094","Mb-72","1","4","3","1.0664499999999999","2.06","48.230499999999999","1.163","2.0169999999999999","42.3"
"63097","Mb-965_15","1","7","3","0.31567200000000001","0.44","28.2563","NA","NA","NA"
"63102","Mx-1933_11","1","12","3","2.0322300000000002","2.72","25.285799999999998","2.843","3.9860000000000002","28.7"
"63105","Mb-485_1","1","15","3","0.48296299999999998","0.72","32.921799999999998","2.194","2.8879999999999999","24"
"63123","Mb-383_1","1","33","3","0.42288599999999998","0.62","31.7926","1.44","1.9390000000000001","25.8"
"63129","Mx-1956_15","1","39","3","1.31264","1.66","20.9254","2.7229999999999999","3.339","18.5"
"63139","Mb-969_18","1","32","4","0.76627199999999995","1.08","29.0488","NA","NA","NA"
"63150","Mb-1147_12","1","21","4","1.72133","2.2999999999999998","25.159600000000001","2.609","3.2469999999999999","19.7"
"63158","Mb-488_15","1","13","4","0.92119600000000001","1.1200000000000001","17.750299999999999","2.5339999999999998","3.4449999999999998","26.5"
"63167","Mb-434_1","1","4","4","0.98065899999999995","1.46","32.831600000000002","2.1749999999999998","2.8460000000000001","23.6"
"63168","Mb-399","1","3","4","0.10746600000000001","0.14000000000000001","23.238299999999999","NA","NA","NA"
"63171","Mb-149","1","1","5","3.0005799999999998","3.62","17.111000000000001","4.3540000000000001","5.94","26.7"
"63177","Mb-1086_54","1","7","5","3.0799599999999998","4.76","35.294899999999998","4.5199999999999996","7.4749999999999996","39.5"
"63190","Mb-307","1","20","5","4.3830999999999998","5.78","24.167899999999999","5.7160000000000002","8.6","33.5"
"63196","Mb-144","1","26","5","0.55770699999999995","0.7","20.3276","2.0870000000000002","2.9140000000000001","28.4"
"63203","Mb-490_10","1","33","5","0.117994","0.18","34.447800000000001","0.69599999999999995","0.95899999999999996","27.4"
"63226","Mb-931_12","1","25","6","1.67675","3.06","45.204099999999997","3.8250000000000002","5.55","31.1"
"63234","Mb-910_11","1","17","6","2.76457","4.88","43.3489","3.5230000000000001","6.3120000000000003","44.2"
"63276","Mb-142","1","26","7","0.34451599999999999","0.48","28.2258","1.3779999999999999","1.7270000000000001","20.2"
"63285","Mx-1932_13","1","35","7","1.04514","1.7","38.521000000000001","2.028","2.8690000000000002","29.3"
"63306","Mb-960_20","1","25","8","1.08253","2.36","54.130200000000002","1.627","3.093","47.4"
"63320","Mb-913_17","1","11","8","0.77732500000000004","1.1399999999999999","31.813600000000001","2.7389999999999999","3.548","22.8"
"63334","Mb-167","1","4","9","1.2608699999999999","3","57.970999999999997","1.994","4.0469999999999997","50.7"
"63340","Mb-113","1","10","9","1.6356299999999999","2.6","37.091200000000001","2.3889999999999998","3.62","34"
"63368","Mb-221","1","38","9","6.0635799999999997E-2","0.14000000000000001","56.688699999999997","NA","NA","NA"
"63369","Mb-956_19","1","39","9","0.43813600000000003","0.7","37.409199999999998","2.5030000000000001","3.43","27"
"63372","Mb-1132_52","1","39","10","1.07352","1.76","39.004399999999997","1.1830000000000001","1.6120000000000001","26.6"
