"UID","Genotype","Pheno_date","Year","Location","Dry_matter_plant","Fresh_weight_plant","Moisture_content"
70349,"Mb-2","24-Mar-14",2014,"JKI 15 AM-R3 C1",0.192329,0.27,28.7671
70352,"Mb-9","24-Mar-14",2014,"JKI 15 AM-R6 C1",0.0256452,0.03,14.5161
70353,"Mb-14","24-Mar-14",2014,"JKI 15 AM-R7 C1",0.151327,0.19,20.354
70355,"Mb-31","24-Mar-14",2014,"JKI 15 AM-R9 C1",0.143704,0.2,28.1481
70356,"Mb-35","24-Mar-14",2014,"JKI 15 AM-R10 C1",0.138347,0.18,23.1405
70357,"Mb-37","24-Mar-14",2014,"JKI 15 AM-R11 C1",0.0874107,0.11,20.5357
70359,"Mb-70","24-Mar-14",2014,"JKI 15 AM-R13 C1",0.136923,0.16,14.4231
70360,"Mb-72","24-Mar-14",2014,"JKI 15 AM-R14 C1",0.119277,0.18,33.7349
70361,"Mb-74","24-Mar-14",2014,"JKI 15 AM-R15 C1",0.0538938,0.07,23.0089
70362,"Mb-76","24-Mar-14",2014,"JKI 15 AM-R16 C1",0.216667,0.26,16.6667
70366,"Mb-86","24-Mar-14",2014,"JKI 15 AM-R17 C2",0.0765217,0.11,30.4348
70367,"Mb-94","24-Mar-14",2014,"JKI 15 AM-R16 C2",0.0164557,0.02,17.7215
70368,"Mb-102","24-Mar-14",2014,"JKI 15 AM-R15 C2",0.0694565,0.09,22.8261
70369,"Mb-104","24-Mar-14",2014,"JKI 15 AM-R14 C2",0.303489,0.45,32.5581
70370,"Mb-99","24-Mar-14",2014,"JKI 15 AM-R13 C2",0.117253,0.15,21.831
70371,"Mb-109","24-Mar-14",2014,"JKI 15 AM-R12 C2",0.116728,0.17,31.3364
70372,"Mb-110","24-Mar-14",2014,"JKI 15 AM-R11 C2",0.258964,0.34,23.8342
70373,"Mb-111","24-Mar-14",2014,"JKI 15 AM-R10 C2",0.149195,0.19,21.4765
70374,"Mb-113","24-Mar-14",2014,"JKI 15 AM-R9 C2",0.133044,0.17,21.7391
70375,"Mb-115","24-Mar-14",2014,"JKI 15 AM-R8 C2",0.0674782,0.08,15.6522
70378,"Mb-140","24-Mar-14",2014,"JKI 15 AM-R5 C2",0.37,0.37,NA
70379,"Mb-142","24-Mar-14",2014,"JKI 15 AM-R4 C2",0.22575,0.28,19.375
70380,"Mb-144","24-Mar-14",2014,"JKI 15 AM-R3 C2",0.3058,0.44,30.5
70381,"Mb-146","24-Mar-14",2014,"JKI 15 AM-R2 C2",0.372836,0.47,20.6731
70384,"Mb-147","24-Mar-14",2014,"JKI 15 AM-R2 C3",0.61,0.61,NA
70385,"Mb-148","24-Mar-14",2014,"JKI 15 AM-R3 C3",0.713905,0.99,27.8884
70386,"Mb-149","24-Mar-14",2014,"JKI 15 AM-R4 C3",0.397059,0.54,26.4706
70387,"Mb-166","24-Mar-14",2014,"JKI 15 AM-R5 C3",0.0896202,0.12,25.3165
70388,"Mb-167","24-Mar-14",2014,"JKI 15 AM-R6 C3",0.232152,0.31,25.1121
70389,"Mb-177","24-Mar-14",2014,"JKI 15 AM-R7 C3",0.178095,0.22,19.0476
70390,"Mb-99","24-Mar-14",2014,"JKI 15 AM-R8 C3",0.26366,0.33,20.1031
70392,"Mb-188","24-Mar-14",2014,"JKI 15 AM-R10 C3",0.195026,0.25,21.9895
70393,"Mb-221","24-Mar-14",2014,"JKI 15 AM-R11 C3",0.091826,0.12,23.4783
70394,"Mb-226","24-Mar-14",2014,"JKI 15 AM-R12 C3",0.534483,0.62,13.7931
70395,"Mb-229","24-Mar-14",2014,"JKI 15 AM-R13 C3",0.051827,0.07,25.9615
70397,"Mb-255","24-Mar-14",2014,"JKI 15 AM-R15 C3",0.0511765,0.06,14.7059
70398,"Mb-272","24-Mar-14",2014,"JKI 15 AM-R16 C3",0.0752688,0.1,24.7312
70399,"Mb-297","24-Mar-14",2014,"JKI 15 AM-R17 C3",0.0527398,0.07,24.6575
70402,"Mb-306","24-Mar-14",2014,"JKI 15 AM-R17 C4",0.20819,0.23,9.48276
70403,"Mb-307","24-Mar-14",2014,"JKI 15 AM-R16 C4",1.14216,1.62,29.4964
70405,"Mb-309","24-Mar-14",2014,"JKI 15 AM-R14 C4",0.546597,0.72,24.0838
70406,"Mb-310","24-Mar-14",2014,"JKI 15 AM-R13 C4",0.488572,0.6,18.5714
70408,"Mb-353","24-Mar-14",2014,"JKI 15 AM-R11 C4",0.3075,0.39,21.1538
70411,"Mb-383_1","24-Mar-14",2014,"JKI 15 AM-R8 C4",0.498017,0.53,6.03448
70412,"Mb-391","24-Mar-14",2014,"JKI 15 AM-R7 C4",0.318966,0.37,13.7931
70413,"Mb-393_1","24-Mar-14",2014,"JKI 15 AM-R6 C4",0.236667,0.27,12.3457
70414,"Mb-397","24-Mar-14",2014,"JKI 15 AM-R5 C4",0.307535,0.38,19.0698
70415,"Mb-399","24-Mar-14",2014,"JKI 15 AM-R4 C4",0.412577,0.46,10.3093
70416,"Mb-99","24-Mar-14",2014,"JKI 15 AM-R3 C4",0.375337,0.51,26.4045
70417,"Mb-401","24-Mar-14",2014,"JKI 15 AM-R2 C4",0.158846,0.21,24.359
70420,"Mb-411","24-Mar-14",2014,"JKI 15 AM-R2 C5",0.208773,0.26,19.7026
70422,"Mb-425_1","24-Mar-14",2014,"JKI 15 AM-R4 C5",0.22551,0.26,13.2653
70423,"Mb-427_1","24-Mar-14",2014,"JKI 15 AM-R5 C5",0.10375,0.12,13.5417
70424,"Mb-431_1","24-Mar-14",2014,"JKI 15 AM-R6 C5",0.068543,0.09,23.8411
70427,"Mb-434_1","24-Mar-14",2014,"JKI 15 AM-R9 C5",0.176344,0.2,11.828
70428,"Mx-437_90","24-Mar-14",2014,"JKI 15 AM-R10 C5",0.716292,0.85,15.7303
70429,"Mb-485_1","24-Mar-14",2014,"JKI 15 AM-R11 C5",0.276825,0.32,13.4921
70430,"Mb-486","24-Mar-14",2014,"JKI 15 AM-R12 C5",0.460492,0.53,13.1148
70431,"Mb-488_15","24-Mar-14",2014,"JKI 15 AM-R13 C5",0.331311,0.39,15.0485
70433,"Mb-490_10","24-Mar-14",2014,"JKI 15 AM-R15 C5",0.371739,0.45,17.3913
70434,"Mb-490_10","24-Mar-14",2014,"JKI 15 AM-R16 C5",0.321634,0.37,13.0719
70435,"Mb-494_1","24-Mar-14",2014,"JKI 15 AM-R17 C5",0.164571,0.24,31.4286
70438,"Mb-498_1","24-Mar-14",2014,"JKI 15 AM-R17 C6",0.0265714,0.03,11.4286
70439,"Mb-502_1","24-Mar-14",2014,"JKI 15 AM-R16 C6",0.815538,0.93,12.3077
70440,"Mb-505_1","24-Mar-14",2014,"JKI 15 AM-R15 C6",0.383091,0.43,10.9091
70441,"Mb-99","24-Mar-14",2014,"JKI 15 AM-R14 C6",0.211147,0.28,24.5902
70442,"Mb-508","24-Mar-14",2014,"JKI 15 AM-R13 C6",0.186667,0.21,11.1111
70445,"Mb-526_13","24-Mar-14",2014,"JKI 15 AM-R10 C6",0.0672341,0.08,15.9574
70446,"Mb-527_1","24-Mar-14",2014,"JKI 15 AM-R9 C6",0.227595,0.31,26.5823
70447,"Mb-533_1","24-Mar-14",2014,"JKI 15 AM-R8 C6",0.0727273,0.1,27.2727
70448,"Mb-539_1","24-Mar-14",2014,"JKI 15 AM-R7 C6",0.018,0.02,10
70451,"Mb-628_1","24-Mar-14",2014,"JKI 15 AM-R4 C6",0.237831,0.28,15.0602
70458,"Mb-770_18","24-Mar-14",2014,"JKI 15 AM-R4 C7",0.225661,0.26,13.2075
70462,"Mb-779_14","24-Mar-14",2014,"JKI 15 AM-R8 C7",0.157265,0.23,31.6239
70464,"Mb-99","24-Mar-14",2014,"JKI 15 AM-R10 C7",0.240863,0.31,22.3022
70467,"Mb-787_13","24-Mar-14",2014,"JKI 15 AM-R13 C7",0.411705,0.47,12.4031
70471,"Mb-810_11","24-Mar-14",2014,"JKI 15 AM-R17 C7",0.34,0.34,NA
70475,"Mb-819_19","24-Mar-14",2014,"JKI 15 AM-R16 C8",0.271846,0.31,12.3077
70476,"Mb-819_19","24-Mar-14",2014,"JKI 15 AM-R15 C8",0.230286,0.26,11.4286
70485,"Mb-884_1","24-Mar-14",2014,"JKI 15 AM-R6 C8",0.175,0.2,12.5
70493,"Mb-893_11","24-Mar-14",2014,"JKI 15 AM-R3 C9",0.123357,0.18,31.4685
70497,"Mb-910_11","24-Mar-14",2014,"JKI 15 AM-R7 C9",0.1863,0.27,31
70498,"Mb-913_17","24-Mar-14",2014,"JKI 15 AM-R8 C9",0.3608,0.41,12
70499,"Mb-914_13","24-Mar-14",2014,"JKI 15 AM-R9 C9",0.182744,0.27,32.3171
70506,"Mb-930","24-Mar-14",2014,"JKI 15 AM-R16 C9",0.0121154,0.015,19.2308
70507,"Mb-931_12","24-Mar-14",2014,"JKI 15 AM-R17 C9",0.124445,0.24,48.1481
70510,"Mb-931_12","24-Mar-14",2014,"JKI 15 AM-R17 C10",0.0947458,0.13,27.1186
