"Genotype","Environment","trait","BLUE","SE","converged"
"Mb-1037_52","Aber-2015","DM",0.247031345125831,0.52666385599557,TRUE
"Mb-1040_17","Aber-2015","DM",0.24129204725184,0.375378238241957,TRUE
"Mb-1043_32","Aber-2015","DM",-0.0563413623331777,0.312418959709887,TRUE
"Mb-1044_50","Aber-2015","DM",0.118844482676573,0.527401518919635,TRUE
"Mb-1056_31","Aber-2015","DM",0.0522361834415654,0.308617205557949,TRUE
"Mb-1067_18","Aber-2015","DM",0.359556228075354,0.376208788685616,TRUE
"Mb-1155_33","Aber-2015","DM",-0.147216626179883,0.37954940820649,TRUE
"Mb-1162_20","Aber-2015","DM",0.734822766604884,0.31178811710041,TRUE
"Mb-1261_15","Aber-2015","DM",0.512890191567268,0.375835098502053,TRUE
"Mb-1353_14","Aber-2015","DM",0.179507780718937,0.310843867184721,TRUE
"Mb-140","Aber-2015","DM",0.353938735757023,0.375737587325826,TRUE
"Mb-142","Aber-2015","DM",0.445892662576881,0.310044731855812,TRUE
"Mb-144","Aber-2015","DM",0.741256493532724,0.377062372193744,TRUE
"Mb-146","Aber-2015","DM",0.0853828555954618,0.312292406070659,TRUE
"Mb-166","Aber-2015","DM",0.203256057361757,0.307388225854646,TRUE
"Mb-177","Aber-2015","DM",0.570113837447468,0.312043890556992,TRUE
"Mb-226","Aber-2015","DM",0.15539874933089,0.37452262615102,TRUE
"Mb-272","Aber-2015","DM",0.336022213549122,0.37567872806094,TRUE
"Mb-297","Aber-2015","DM",0.209332395313584,0.378251045817643,TRUE
"Mb-353","Aber-2015","DM",0.0484256287481249,0.535557269949724,TRUE
"Mb-383_1","Aber-2015","DM",0.187447966668757,0.310964603787211,TRUE
"Mb-391","Aber-2015","DM",-0.0201879330416938,0.310710700301716,TRUE
"Mb-393_1","Aber-2015","DM",0.277637833316734,0.379258139312903,TRUE
"Mb-397","Aber-2015","DM",0.0580963693993253,0.375260217322334,TRUE
"Mb-399","Aber-2015","DM",0.11476405415396,0.374590168816469,TRUE
"Mb-401","Aber-2015","DM",0.103066337187433,0.5263428422796,TRUE
"Mb-411","Aber-2015","DM",0.387313111226428,0.310454140687986,TRUE
"Mb-416","Aber-2015","DM",0.0958310882400062,0.378062439197529,TRUE
"Mb-425_1","Aber-2015","DM",0.246872276135553,0.310228142789604,TRUE
"Mb-427_1","Aber-2015","DM",0.366990764986908,0.311278311782811,TRUE
"Mb-431_1","Aber-2015","DM",0.383714888429036,0.375989442205844,TRUE
"Mb-485_1","Aber-2015","DM",0.476126438769115,0.308693147509676,TRUE
"Mb-486","Aber-2015","DM",0.310112280555641,0.37570602219968,TRUE
"Mb-488_15","Aber-2015","DM",0.846179481808372,0.37660211005805,TRUE
"Mb-490_10","Aber-2015","DM",0.0903500024276366,0.309415599131466,TRUE
"Mb-494_1","Aber-2015","DM",0.738749631272854,0.310107480613843,TRUE
"Mb-498_1","Aber-2015","DM",0.145729946648151,0.318118171622447,TRUE
"Mb-502_1","Aber-2015","DM",0.333274129148893,0.309931879246383,TRUE
"Mb-505_1","Aber-2015","DM",0.163614091345706,0.310338940642741,TRUE
"Mb-508","Aber-2015","DM",0.235210299175278,0.310352646782904,TRUE
"Mb-628_1","Aber-2015","DM",0.138108198594107,0.31128659545491,TRUE
"Mb-76","Aber-2015","DM",-0.0457703841606196,0.374235258735109,TRUE
"Mb-770_18","Aber-2015","DM",0.0599559566824856,0.382790259931786,TRUE
"Mb-779_14","Aber-2015","DM",-0.111307808168035,0.311014194235438,TRUE
"Mb-787_13","Aber-2015","DM",0.352755566633683,0.375193205509552,TRUE
"Mb-810_11","Aber-2015","DM",-0.131000209368872,0.308888089462531,TRUE
"Mb-819_19","Aber-2015","DM",0.132970613054924,0.31274071707654,TRUE
"Mb-884_1","Aber-2015","DM",0.199212776192404,0.308657735912719,TRUE
"Mb-913_17","Aber-2015","DM",0.808527304091806,0.310982156720331,TRUE
"Mb-94","Aber-2015","DM",0.170303159881203,0.380011928873967,TRUE
"Mb-956_19","Aber-2015","DM",0.945475740557307,0.307754136969522,TRUE
"Mb-958_19","Aber-2015","DM",0.0978394044153671,0.533215413728248,TRUE
"Mb-961_16","Aber-2015","DM",1.16788383595304,0.379268770473018,TRUE
"Mb-965_15","Aber-2015","DM",0.472035945209482,0.309789129170157,TRUE
"Mb-969_18","Aber-2015","DM",0.914690468037275,0.307447719592619,TRUE
"Mx-2470_5","Aber-2015","DM",1.32664973140732,0.374426331439186,TRUE
"Mb-102","Aber-2015","DM",0.759773273714527,0.313007283996335,TRUE
"Mb-109","Aber-2015","DM",0.763817895768562,0.379917344814224,TRUE
"Mb-110","Aber-2015","DM",-0.143418326703046,0.3104908295131,TRUE
"Mb-111","Aber-2015","DM",-0.0141163868880173,0.307537827168668,TRUE
"Mb-113","Aber-2015","DM",0.961139623871543,0.375011033207578,TRUE
"Mb-1139_19","Aber-2015","DM",0.587176042707656,0.3135626855851,TRUE
"Mb-1147_12","Aber-2015","DM",1.44771183975017,0.308573135608151,TRUE
"Mb-115","Aber-2015","DM",0.0519531439763553,0.377643941727125,TRUE
"Mb-1153_20","Aber-2015","DM",2.49163130305456,0.375501252526908,TRUE
"Mb-1156_13","Aber-2015","DM",2.17799211915828,0.310383844582352,TRUE
"Mb-1182_16","Aber-2015","DM",1.24936691569172,0.522367654207805,TRUE
"Mb-1205_12","Aber-2015","DM",1.19404973252109,0.309601766179336,TRUE
"Mb-1231_18","Aber-2015","DM",1.42455466614496,0.37383885188784,TRUE
"Mb-1238_1","Aber-2015","DM",0.126029772124392,0.310257733443686,TRUE
"Mb-14","Aber-2015","DM",0.574086300508736,0.373988710540093,TRUE
"Mb-167","Aber-2015","DM",0.638523886246092,0.3079874655414,TRUE
"Mb-2","Aber-2015","DM",1.46138192452743,0.374324144412914,TRUE
"Mb-221","Aber-2015","DM",0.332242385086121,0.376997926487215,TRUE
"Mb-229","Aber-2015","DM",-0.328405691350025,0.378735779751887,TRUE
"Mb-255","Aber-2015","DM",0.144235410431972,0.312470972695227,TRUE
"Mb-3","Aber-2015","DM",0.27294996341648,0.3099738678608,TRUE
"Mb-306","Aber-2015","DM",1.2900871873706,0.311804238410841,TRUE
"Mb-31","Aber-2015","DM",0.769624315343663,0.375344870311297,TRUE
"Mb-35","Aber-2015","DM",0.172490155547268,0.376305489051694,TRUE
"Mb-37","Aber-2015","DM",1.00101369882167,0.530337212705433,TRUE
"Mb-434_1","Aber-2015","DM",0.775147962365603,0.37786078462377,TRUE
"Mb-526_13","Aber-2015","DM",0.261850653558129,0.37938123365179,TRUE
"Mb-527_1","Aber-2015","DM",0.517692130793189,0.37142234665997,TRUE
"Mb-533_1","Aber-2015","DM",0.0992385434292157,0.308457835593486,TRUE
"Mb-539_1","Aber-2015","DM",0.0821508742528908,0.309209869469773,TRUE
"Mb-585_1","Aber-2015","DM",0.680675409464957,0.526663859842047,TRUE
"Mb-70","Aber-2015","DM",-0.18547125935069,0.52431835408789,TRUE
"Mb-74","Aber-2015","DM",0.463834199200227,0.311244738050038,TRUE
"Mb-851_1","Aber-2015","DM",0.207907030894244,0.530165146659916,TRUE
"Mb-86","Aber-2015","DM",1.63312304901861,0.375783557654268,TRUE
"Mb-893_11","Aber-2015","DM",2.54577023357078,0.381106495935749,TRUE
"Mb-9","Aber-2015","DM",0.148731805673203,0.31533735671738,TRUE
"Mb-910_11","Aber-2015","DM",3.27781076498428,0.376787937812233,TRUE
"Mb-914_13","Aber-2015","DM",0.49668699646881,0.37463194585971,TRUE
"Mb-928_18","Aber-2015","DM",1.28092253003069,0.311413410489531,TRUE
"Mb-930","Aber-2015","DM",1.06782316251477,0.374038855401415,TRUE
"Mb-931_12","Aber-2015","DM",1.27839369900635,0.379203727963204,TRUE
"Mb-933_11","Aber-2015","DM",2.08195255949445,0.375360165408498,TRUE
"Mb-935_13","Aber-2015","DM",1.04612437341688,0.373382134851966,TRUE
"Mb-960_20","Aber-2015","DM",1.27870083834942,0.531023329870017,TRUE
"Mb-974_19","Aber-2015","DM",1.86634466394345,0.309744735486748,TRUE
"Mb-99","Aber-2015","DM",0.645506712510325,0.381757179581933,TRUE
