"trait","model","rep","sigma2_E","sigma2_L","sigma2_G","sigma2_GxE","sigma2_e","total_variance","pct_E","pct_e"
"DM","M1",1,0.892763617025375,0.263469255114078,NA,NA,0.450182390605394,1.60641526274485,55.5748963378205,28.0240359417513
"FW","M1",1,1.69665169343238,0.595698214020069,NA,NA,1.12962515236161,3.42197505981406,49.5810654308093,33.0109113192364
"MC","M1",1,49.6680592566245,29.8800799670606,NA,NA,36.0307020114197,115.578841235105,42.973314774451,31.1741332811322
"DM","M2",1,0.79374415385677,0.151784001421861,0.180985651615285,NA,0.447693954014987,1.5742077609089,50.4218168381081,28.4393181848183
"FW","M2",1,1.58518295002034,0.32752725056115,0.431869308605002,NA,1.12122903031269,3.46580853949918,45.7377530222544,32.3511532023264
"MC","M2",1,42.5323889938366,15.6396769226411,22.1969218413584,NA,36.0773234522844,116.44631121012,36.5253210272066,30.9819375791003
"DM","M3",1,0.779164245904921,0.157581446211104,0.148321949412919,0.329448560408967,0.230799197662748,1.64531539960066,47.3565278787298,14.0276568078538
"FW","M3",1,1.53026559237765,0.299986828238822,0.42034969641452,0.996392123757738,0.453952014603333,3.70094625539206,41.3479550033493,12.2658364449889
"MC","M3",1,39.7455852150493,13.2973031154427,24.8568954544443,27.9610042492131,18.7807556540329,124.641543688182,31.8879115573869,15.0678137467689
"DM","M1",2,0.890970395054609,0.260841022070924,NA,NA,0.452483648231787,1.60429506535732,55.5365664517684,28.2045153664427
"FW","M1",2,1.76158710677024,0.593892493215323,NA,NA,1.12899712131537,3.48447672130093,50.5552841263509,32.4007652114219
"MC","M1",2,45.4059387028892,30.0777501637694,NA,NA,35.9867909292303,111.470479795889,40.7335994121771,32.2836960916692
"DM","M2",2,0.762962057555474,0.157867759896611,0.16910293511864,NA,0.447115879216074,1.5370486317868,49.6381208620927,29.0892474037277
"FW","M2",2,1.45386784919149,0.326318712222036,0.421078949343249,NA,1.11783748960087,3.31910300035765,43.8030350077967,33.6789032904498
"MC","M2",2,42.7659515949735,15.4543247302364,22.3995250547227,NA,35.9515918747162,116.571393254649,36.6864891985565,30.8408357067333
"DM","M3",2,0.729824816353814,0.150594395133104,0.160659331867567,0.337067322184318,0.227831708549466,1.60597757408827,45.4442719580405,14.1864813198782
"FW","M3",2,1.35392065272312,0.300923114566983,0.399590478856824,0.999048701895812,0.453365958914065,3.5068489069568,38.6078981058249,12.9280151766644
"MC","M3",2,38.5377341051381,13.5190387588515,23.9459709020604,27.9357553990797,18.8518081832309,122.790307348361,31.384996859569,15.3528471345443
"DM","M1",3,0.878147906727345,0.262995979109319,NA,NA,0.451119055778048,1.59226294161471,55.150935425076,28.3319446799766
"FW","M1",3,1.65361767354017,0.590095252249807,NA,NA,1.13201308255064,3.37572600834062,48.9855417606309,33.5339147713323
"MC","M1",3,51.1424479480756,29.7430677796278,NA,NA,36.1334779967569,117.01899372446,43.7043990213235,30.8783017582931
"DM","M2",3,0.823640782288356,0.157206273444244,0.166393069393845,NA,0.449171118699674,1.59641124382612,51.5932711870869,28.1363038776365
"FW","M2",3,1.5815696138482,0.317308189780437,0.453031600726442,NA,1.11990683314458,3.47181623749966,45.554531278626,32.2570884094695
"MC","M2",3,39.8754257577028,15.1560401830471,23.1236723766933,NA,35.8722081858641,114.027346503307,34.9700549740901,31.4593027777101
"DM","M3",3,0.829864517285102,0.14669591093981,0.163839907079483,0.348957817655037,0.220012415872326,1.70937056883176,48.5479586706737,12.8709608018284
"FW","M3",3,1.64409249524583,0.294474930993344,0.427588470528427,0.995094885564051,0.455935018740596,3.81718580107225,43.0708008707359,11.9442710546739
"MC","M3",3,38.9332587621528,14.816745641095,21.5331871447033,26.7575743559663,19.5225962982508,121.563362202168,32.0271322352899,16.0596054144861
"DM","M1",4,0.893507128533476,0.26314283024831,NA,NA,0.450989436838499,1.60763939562028,55.5788276256274,28.0528978119805
"FW","M1",4,1.84098491920249,0.599127033534868,NA,NA,1.12731589218741,3.56742784492476,51.6053862679124,31.6002436823269
"MC","M1",4,50.4742738420726,30.2376839105858,NA,NA,36.0617518494422,116.773709602101,43.2240047987348,30.8817386827228
"DM","M2",4,0.840119334953948,0.163532303856292,0.155590865368372,NA,0.44936261781669,1.6086051219953,52.2265734123655,27.9349239706078
"FW","M2",4,1.65900063188735,0.320411261804586,0.433273200047383,NA,1.11642752158866,3.52911261532798,47.0090023390532,31.6347944449175
"MC","M2",4,43.8947416986574,15.4534284105227,23.1475004445214,NA,35.8211614912346,118.316832044936,37.0993213222498,30.2756259376771
"DM","M3",4,0.803793423822312,0.145726537522379,0.173627589618532,0.32851609456015,0.231952403102458,1.68361604862583,47.7420861174594,13.7770368304447
"FW","M3",4,1.53969816327534,0.327037762584938,0.363975647294395,0.985218507267706,0.461632660745187,3.67756274116757,41.8673526909432,12.552679403061
"MC","M3",4,42.9345755667167,13.6793593702402,23.6117020720011,27.3506664414348,19.1923473123049,126.768650762698,33.8684487910874,15.1396636288507
"DM","M1",5,0.852415356162067,0.261450919317169,NA,NA,0.450387113276407,1.56425338875564,54.4934319650194,28.7924652434148
"FW","M1",5,1.75645165445948,0.594938714828965,NA,NA,1.12931869210721,3.48070906139566,50.4624667985091,32.4450757643729
"MC","M1",5,48.7721132311407,29.9234476084123,NA,NA,36.0387025999225,114.734263439475,42.5087604775263,31.4105843534121
"DM","M2",5,0.86836948031217,0.153739093492782,0.174469755247347,NA,0.447407425875525,1.64398575492782,52.82098568733,27.2147994308605
"FW","M2",5,1.4577624713795,0.338392862358772,0.393861664920409,NA,1.11771666730341,3.30773366596209,44.071337616461,33.7910116163573
"MC","M2",5,42.7076586231566,15.3787875902137,22.9957530854301,NA,35.8340813471664,116.916280645967,36.5284102326855,30.6493510990786
"DM","M3",5,0.752009272909419,0.150899966046059,0.158798952478966,0.335724950196389,0.226896394769239,1.62432953640007,46.296595367961,13.9686184166853
"FW","M3",5,1.48700413105214,0.310489504038086,0.393389832597388,0.972626477543812,0.467001114893008,3.63051106012444,40.9585346642953,12.863233499611
"MC","M3",5,37.8314067532354,14.7463726886702,21.4863348454502,27.4027501870589,19.2063009509747,120.673165425389,31.3503061097921,15.9159668044423
